word,group,frequency
the,very_common,0.0428455208259679
happy,very_common,8.269614298028284e-05
house,very_common,0.0002463577084840619
walk,very_common,7.982812832779019e-05
money,very_common,0.0001708936939290392
love,very_common,0.00025836914873036135
time,very_common,0.001261437489994846
good,very_common,0.0005265574286126399
work,very_common,0.0005932345380313651
day,very_common,0.00046122081791205957
eloquent,common,2.5800138904568964e-06
vibrant,common,4.386075208046913e-06
serene,common,2.5792347913097946e-06
curious,common,2.050159239410104e-05
stubborn,common,5.666199986946941e-06
graceful,common,4.362205018673021e-06
wander,common,5.3929385637188505e-06
ponder,common,2.2017843567330903e-06
vivid,common,7.606660866323571e-06
fragile,common,7.87158960812511e-06
ephemeral,uncommon,1.7278464132513838e-06
luminous,uncommon,2.7287330196724635e-06
melancholy,uncommon,5.275237539579047e-06
tenacious,uncommon,9.579805499914159e-07
ubiquitous,uncommon,4.139886401454922e-06
verbose,uncommon,3.179230242064282e-07
candid,uncommon,1.6343355036951833e-06
whimsical,uncommon,9.97806055468551e-07
stoic,uncommon,1.0669112291290212e-06
resilient,uncommon,3.045652904185252e-06
tranche,rare,3.7391402588447083e-07
mea culpa,rare,6.755051118932983e-08
callipygian,rare,2.9118830965505334e-09
sycophant,rare,8.338783548788612e-08
perspicacious,rare,9.564153858813523e-08
mellifluous,rare,1.3770799984599978e-07
defenestrate,rare,3.793519160070044e-09
soliloquy,rare,5.207557358251809e-07
loquacious,rare,2.212629750987714e-07
pusillanimous,rare,8.374457036909786e-08
